股票代码,股票名称,股票所属行业,市盈率（TTM）,市净率,净资产收益率,毛利率,净利率,资产负债率,流动比率,营业收入增长率,净利润增长率,每股经营现金流,综合评分
688150,莱特光电,,5258,575,577,18.8393366476,36.74246690145,10584108485.5,402437585.0,1.146744986406,7625,,100.0
688147,微导纳米,,5968,680,577,198.9480479158,2253.57132717787,18335613572.08,461157283.0,1.365890154097,4640,,100.0
688128,中国电研,,2087,336,577,12.8771905799,31.279845173846,11030715000.0,404500000.0,3.303384732559,-2757,,100.0
688127,蓝特光学,,5029,742,577,52.5378210245,110.271176429261,13817403548.000002,403192400.0,1.68327562464,6499,,100.0
688100,威胜信息,,2704,541,577,11.8829116925,12.242144689586,17956342591.0,491685175.0,3.875835601958,6017,,100.0
688097,博众精工,,3327,339,577,2.3429623767,69.686581943298,15476345057.25,446647765.0,4.766873185899,7106,,100.0
688006,杭可科技,,4829,250,131649,-23.066955706,-33.06710932298,12997061432.56,603672152.0,3.224805519785,4166,,100.0
605599,菜百股份,,1590,321,513,30.1784980572,17.324493597446,12180000348.0,777777800.0,1.505499690696,-3729,,100.0
605555,德昌股份,,2161,297,513,21.3338280714,-4.973705659296,8785853076.0,484069040.0,2.35965653325,545,,100.0
605296,神农集团,,1899,352,513,12.1558740708,212.646527271351,18043965232.56,524564418.0,4.863455572773,-8062,,100.0
605268,王力安防,,3146,293,1,13.5935851342,47.672958148427,4610304825.0,446302500.0,0.820510503325,297,,100.0
605118,力鼎光电,,6334,874,513,13.7718598023,65.78986974236,12534075680.0,410684000.0,1.31628965275,-6852,,100.0
605116,奥锐特,,2473,421,513,19.7757854642,45.304940265392,9695880235.58,406195234.0,2.769177380845,1157,,100.0
533,顺钠股份,,5130,584,65,1.047021655,30.644607177718,5312375040.0,690816000.0,0.114751775668,-1144,,100.0
531,穗恒运Ａ,,2967,104,1089,-7.7857661284,210.360827584886,6904490831.16,1041401332.0,2.68905507848,-3620,,100.0
525,红太阳,,2310,317,1025,0.2406006095,45.739109954823,9177053300.87,1298027341.0,-1.346742804364,-3331,,100.0
524,岭南控股,,5821,396,1089,1.232874656,8.878432139014,8866859738.31,670208597.0,0.118643849894,2332,,100.0
521,长虹美菱,,1165,132,1089,20.8041432661,0.263980836195,8156995822.8,1029923715.0,1.825882516347,-649,,100.0
514,渝 开 发,,4346,128,1,-22.9509405574,687.862019914106,4885433887.35,843770965.0,1.869648334368,4536,,100.0
507,珠海港,,1659,102,1025,-10.8870017127,36.921557159075,5196502156.75,919734895.0,2.632525812376,-1350,,100.0
501,武商集团,,4028,81,1089,-8.6205119666,2.851526963577,8858796261.119999,768992731.0,8.802784268776,16,,100.0
498,山东路桥,,406,63,1089,1.950281641,1.892201223075,9438829782.72,1552439109.0,7.498301520243,397,,100.0
421,南京公用,,4092,143,1,16.067659548,276.937856694035,3883050361.84,574415734.0,2.657233387082,-6825,,100.0
411,英特集团,,1151,134,1025,-1.8724990514,-5.700459006272,5980888153.14,521892509.0,3.60312649387,-2243,,100.0
404,长虹华意,,1109,128,1089,-1.5181637303,13.416797559544,5331329199.14,695995979.0,2.475376737112,-6321,,100.0
573,粤宏远Ａ,,3300,165,1,14.7321618825,721.811986910116,2750989403.24,638280604.0,0.360107553605,-2620,,100.0
570,苏常柴Ａ,,10362,124,1,4.3637324556,46.559383807807,4332951992.98,705692507.0,1.487891509623,-3043,,100.0
554,泰山石油,,2610,332,65,-4.7618979844,185.736037485445,3490559488.68,480793318.0,0.512007935456,-3729,,100.0
546,金圆股份,,12395,97,1,84.5910605162,-29.915814520506,4067100410.26,777648262.0,1.555132305086,-2386,,100.0
543,皖能电力,,799,103,1089,-5.8266219306,1.045706139734,16570770949.61,2266863331.0,2.981913393508,-1914,,100.0
537,中绿电,,1716,97,1089,19.8061614239,52.178199293601,18806081403.2,2066602352.0,5.012854083909,3053,,100.0
534,万泽股份,,4078,577,1089,24.4010268803,21.843309135305,8733487528.08,509835816.0,1.978335929306,4399,,100.0
605099,共创草坪,,2382,490,513,15.2681261419,28.731079616843,13009184380.0,401642000.0,3.678914157583,495,,100.0
605066,天正电气,,3277,242,1,1.0440101229,18.062807704657,4149046027.500001,504750125.0,0.99489601848,-6269,,100.0
605056,咸亨国际,,2587,387,513,33.7364410963,44.873544208606,6262204082.4,410367240.0,1.032193894181,1859,,100.0
605050,福然德,,2161,178,513,2.251963403,30.530451232043,7619139138.26,492829181.0,3.28327857666,5507,,100.0
605020,永和股份,,3595,317,577,12.3854730821,140.824758139931,14740463480.08,470490376.0,3.363189025422,-5541,,100.0
605016,百龙创园,,3060,503,513,22.285347041,42.6784744619,9076466235.2,420012320.0,1.995352071268,-3564,,100.0
603998,方盛制药,,1957,339,1,-4.6244458793,25.736289889426,5348010964.8,439081360.0,1.848191893024,5171,,100.0
603989,艾华集团,,3333,212,577,15.7705696484,103.451844606495,7818035452.469999,401130603.0,4.923693728274,2547,,100.0
603987,康德莱,,1790,162,1,0.1723872921,18.943443621027,4210664083.2,436790880.0,3.408397088282,10000,,100.0
603983,丸美生物,,4781,498,513,30.8293597634,5.21318201057,16773830000.0,401000000.0,4.998624672544,4338,,100.0
603969,银龙股份,,2698,317,577,8.8493814832,70.981237229902,8307663360.0,857344000.0,1.542452424814,-3700,,100.0
603916,苏博特,,4830,116,65,17.8058257142,15.358031685163,4787296073.01,426295287.0,4.185550032952,-1380,,100.0
603890,春秋电子,,2271,223,577,2.6151826036,248.435405535283,6309378922.95,439066035.0,2.757903079454,-1616,,100.0
603888,新华网,,5634,399,577,0.3879954915,41.431870043157,13818637680.64,674738168.0,1.798525144586,3391,,100.0
603876,鼎胜新材,,2556,130,577,26.0849319456,179.927227265461,9097526015.27,929267213.0,3.518371487922,-3227,,100.0
685,中山公用,,1162,89,1089,8.2492416162,62.194022791314,15282153596.36,1475111351.0,8.207525257495,1187,,100.0
682,东方电子,,2235,306,1089,12.1830910486,19.649631352123,16397091295.61,1340727007.0,2.040536667395,859,,100.0
681,视觉中国,,13075,443,1089,8.4260126575,12.259868723864,15833050053.6,700577436.0,2.665630425471,1985,,100.0
